2000.040	166.1	0.0	10.5
2000.125	170.6	0.0	10.4
2000.204	174.3	0.0	10.4
2000.289	175.2	0.0	10.5
2000.371	172.9	0.0	10.3
2000.455	172.7	0.0	10.1
2000.537	174.2	0.0	10.0
2000.622	172.8	0.0	9.9
2000.707	168.8	0.0	9.8
2000.789	165.3	0.0	9.8
2000.873	163.1	0.0	9.7
2000.955	162.7	0.0	9.7
2001.040	158.3	0.0	9.6
2001.125	152.5	0.0	9.4
2001.202	155.1	0.0	9.5
2001.287	160.7	0.0	9.7
2001.369	163.7	0.0	10.0
2001.454	167.4	0.0	10.4
2001.536	172.0	0.0	10.6
2001.621	175.8	0.0	10.9
2001.706	177.1	0.0	10.9
2001.788	177.3	0.0	10.8
2001.873	180.3	0.0	10.8
2001.955	179.1	0.0	10.8
2002.040	177.6	0.0	10.7
2002.125	179.7	0.0	10.9
2002.202	178.2	0.0	10.8
2002.287	174.4	0.0	10.6
2002.369	171.3	0.0	10.2
2002.454	166.9	0.0	9.9
2002.536	161.5	0.0	9.6
2002.621	155.4	0.0	9.2
2002.706	149.5	0.0	8.9
2002.788	143.9	0.0	8.7
2002.873	136.0	0.0	8.5
2002.955	131.4	0.0	8.4
2003.040	129.6	0.0	8.2
2003.125	125.7	0.0	8.0
2003.202	118.7	0.0	7.7
2003.287	111.9	0.0	7.5
2003.369	107.0	0.0	7.5
2003.454	101.7	0.0	7.2
2003.536	96.0	0.0	6.9
2003.621	92.9	0.0	6.8
2003.706	91.8	0.0	6.7
2003.788	89.1	0.0	6.6
2003.873	86.9	0.0	6.5
2003.955	84.1	0.0	6.4
2004.040	80.1	0.0	6.4
2004.125	76.4	0.0	6.4
2004.204	73.2	0.0	6.3
2004.289	71.0	0.0	6.1
2004.371	69.5	0.0	5.9
2004.455	67.1	0.0	5.8
2004.537	64.8	0.0	5.8
2004.622	63.0	0.0	5.7
2004.707	60.2	0.0	5.6
2004.789	57.9	0.0	5.5
2004.873	56.6	0.0	5.4
2004.955	55.7	0.0	5.4
2005.040	54.5	0.0	5.1
2005.125	53.2	0.0	5.0
2005.202	52.3	0.0	4.9
2005.287	49.3	0.0	4.8
2005.369	45.0	0.0	4.7
2005.454	44.5	0.0	4.6
2005.536	44.6	0.0	4.6
2005.621	41.9	0.0	4.5
2005.706	39.4	0.0	4.5
2005.788	38.9	0.0	4.6
2005.873	38.4	0.0	4.6
2005.955	36.0	0.0	4.4
2006.040	33.0	0.0	4.2
2006.125	29.7	0.0	3.9
2006.202	27.4	0.0	3.7
2006.287	27.0	0.0	3.6
2006.369	27.4	0.0	3.6
2006.454	26.2	0.0	3.5
2006.536	25.0	0.0	3.5
2006.621	25.9	0.0	3.4
2006.706	26.0	0.0	3.3
2006.788	23.7	0.0	3.1
2006.873	21.1	0.0	2.9
2006.955	20.2	0.0	2.9
2007.040	19.8	0.0	2.9
2007.125	19.0	0.0	2.9
2007.202	17.7	0.0	2.8
2007.287	16.4	0.0	2.8
2007.369	14.4	0.0	2.8
2007.454	12.8	0.0	2.7
2007.536	11.6	0.0	2.7
2007.621	9.9	0.0	2.7
2007.706	9.6	0.0	2.6
2007.788	9.9	0.0	2.6
2007.873	9.2	0.0	2.6
2007.955	7.9	0.0	2.6
2008.040	6.6	0.0	2.5
2008.125	5.6	0.0	2.5
2008.204	5.1	0.0	2.5
2008.289	5.1	0.0	2.6
